序号,学校名称,预算总收入,高校类型,主管部门,所在省市
Unit,亿元
Remark,
260,内蒙古工业大学,10.59 ,,内蒙古自治区,内蒙古自治区
261,沈阳工业大学,10.58 ,,辽宁省,辽宁省
262,石家庄铁道大学,10.53 ,,河北省,河北省
263,延边大学,10.50 ,双一流,吉林省,吉林省
264,湖南农业大学,10.45 ,,湖南省,湖南省
265,云南农业大学,10.45 ,,云南省,云南省
266,山东中医药大学,10.43 ,,山东省,山东省
267,湘潭大学,10.43 ,双一流,湖南省,湖南省
268,浙江海洋大学,10.40 ,,浙江省,浙江省
269,仲恺农业工程学院,10.36 ,,广东省,广东省
270,安徽工业大学,10.36 ,,安徽省,安徽省
271,江西农业大学,10.32 ,,江西省,江西省
272,天津中医药大学,10.28 ,双一流,天津市,天津市
